,Negative Precision,Neutral Precision,Positive Precision,Avg Precision (wt.),Negative Recall,Neutral Recall,Positive Recall,Avg Recall (wt),Negative F1-Score,Neutral F1-Score,Positive F1-Score,Avg F1-Score (wt.),Accuracy,ROC_AUC_Score
XGBoost,0.64,0.48,0.76,0.65,0.41,0.71,0.69,0.62,0.5,0.57,0.72,0.62,0.62,0.796
ML_Perceptron,0.59,0.51,0.72,0.63,0.49,0.57,0.73,0.62,0.53,0.53,0.73,0.62,0.62,0.798
Rand_Forest,0.63,0.42,0.86,0.68,0.37,0.85,0.52,0.57,0.46,0.56,0.65,0.58,0.57,0.7802
Multinomial_NB,0.64,0.47,0.58,0.57,0.36,0.28,0.86,0.57,0.46,0.35,0.69,0.54,0.57,0.779
Bernoulli_NB,0.58,0.49,0.71,0.62,0.46,0.57,0.73,0.61,0.51,0.53,0.72,0.61,0.61,0.79
