,index,gains,weightid,weights
154,f70,1.7486759058644443,f70,45
155,f981,6.89737259082353,f981,51
156,f161,1.2677634045000001,f161,16
157,f867,1.462433898834408,f867,93
158,f751,2.3042920434500003,f751,20
159,f428,2.331243233,f428,22
160,f723,18.670676463399992,f723,25
161,f399,5.36326349707353,f399,34
162,f940,1.4765691775,f940,4
163,f872,1.2096546565714286,f872,28
164,f397,0.8297506564975,f397,4
165,f859,12.47190616162564,f859,39
166,f834,13.645733842805551,f834,36
167,f18,16.73170341098571,f18,49
168,f98,7.771604714105263,f98,19
169,f551,0.724666595,f551,1
170,f540,0.588188677625,f540,8
171,f583,1.568127155,f583,4
172,f78,0.904659273,f78,2
173,f621,1.3605942724166666,f621,12
174,f159,1.6845170339333333,f159,15
175,f682,3.5726453058333334,f682,12
176,f725,2.3502333684285714,f725,14
177,f482,2.9975714166466667,f482,30
178,f347,1.1056006975714288,f347,7
179,f194,17.32232936277446,f194,47
180,f652,1.5506749570588236,f652,17
181,f67,10.604618542575434,f67,46
182,f298,0.9489889145,f298,2
183,f902,0.9637095696923075,f902,13
184,f514,4.765943208518519,f514,27
185,f247,1.3253646839999997,f247,5
186,f472,1.564641,f472,2
187,f798,0.6810251873333334,f798,3
188,f224,2.2171003033333334,f224,6
189,f772,2.5050611288333333,f772,12
190,f640,4.702589655733334,f640,15
191,f967,1.0642225956363638,f967,11
192,f145,5.354342888431001,f145,20
193,f731,15.8858850588,f731,25
194,f371,2.05450374,f371,4
195,f493,1.6093244549999999,f493,2
196,f732,11.394783885681822,f732,33
197,f124,5.038860416092426,f124,66
198,f451,0.6044268597666668,f451,3
199,f270,1.5366932558333335,f270,12
200,f903,2.005172571333333,f903,15
201,f416,10.004271185840008,f416,40
202,f447,6.456740453857025,f447,37
203,f463,1.8087010383333333,f463,6
204,f29,1.3454464310000005,f29,20
205,f483,1.82145798125,f483,8
206,f356,1.867774402905,f356,40
207,f331,2.8832607266666663,f331,3
208,f841,13.272091013317997,f841,50
209,f432,4.468678073915385,f432,26
210,f462,1.1446165127647059,f462,17
211,f832,1.247775937,f832,5
212,f687,2.36541914955,f687,4
213,f258,16.030399550421055,f258,38
214,f346,3.181141569477778,f346,18
215,f93,1.425828847142857,f93,7
216,f295,1.75654483,f295,8
217,f266,1.3416517820625,f266,8
218,f189,3.8856585723529404,f189,17
219,f199,13.42009073633334,f199,30
220,f836,2.138715505,f836,4
221,f81,5.255120755,f81,6
222,f278,15.531643603721081,f278,37
223,f414,17.289285181967745,f414,31
224,f995,1.8176873630464283,f995,28
225,f946,0.8895391626666664,f946,18
226,f56,2.1972979560000003,f56,10
227,f37,1.2248362308750003,f37,8
228,f394,1.4663629721666667,f394,6
229,f257,2.13993422,f257,3
230,f417,3.4443589599999997,f417,22
231,f35,2.854050446,f35,5
232,f206,0.494321823,f206,1
233,f470,1.5042463933333332,f470,6
234,f985,2.2805750176838706,f985,62
235,f267,0.5711267353880001,f267,20
236,f914,10.731846616333334,f914,21
237,f990,1.8843711859999999,f990,5
238,f894,2.0602931974999996,f894,4
239,f896,1.884831905,f896,2
240,f789,1.5425087378571425,f789,28
241,f944,1.8603464358555555,f944,54
242,f172,1.175167085,f172,2
243,f253,1.85936578,f253,3
244,f86,4.096996846225574,f86,61
245,f40,5.610670103846155,f40,13
246,f968,1.59442768124,f968,25
247,f42,1.5723478236923076,f42,13
248,f330,2.27270889,f330,7
249,f963,12.833229135353125,f963,32
250,f36,7.801837737262854,f36,35
251,f489,3.781671845,f489,6
252,f260,1.3785912870785713,f260,14
253,f500,1.2666163438571427,f500,7
254,f148,2.81496668,f148,2
255,f290,1.6392429412499998,f290,12
256,f660,2.5931772227666667,f660,15
257,f381,3.2008681298571426,f381,7
258,f318,0.8091346538571429,f318,14
259,f261,1.8297080039999998,f261,5
260,f926,0.9946789711000001,f926,10
261,f412,1.740275290959091,f412,22
262,f448,0.6400138533333334,f448,3
263,f405,8.715867267697666,f405,47
264,f454,6.071237479405406,f454,37
265,f692,9.0005592705,f692,24
266,f518,11.284562334845457,f518,33
267,f262,1.6118634088571429,f262,7
268,f983,2.589000268472727,f983,11
269,f473,7.338356089419998,f473,60
270,f529,3.16558357125,f529,12
271,f41,2.714056276750001,f41,20
272,f166,1.00559759,f166,4
273,f972,8.387709186035716,f972,28
274,f601,5.078449181863636,f601,22
275,f506,3.3471288974999998,f506,8
276,f949,7.546231278011764,f949,51
277,f50,2.1280493700000003,f50,2
278,f214,2.5524564992916665,f214,12
279,f576,1.0510636973999998,f576,14
280,f645,2.782931639875,f645,24
281,f409,1.4098987306250002,f409,4
282,f127,2.49769354,f127,4
283,f737,0.46617539733333335,f737,3
284,f487,1.3773753788391303,f487,23
285,f132,3.430011758837838,f132,37
286,f474,7.292617245625643,f474,39
287,f714,7.252078715724138,f714,29
288,f34,8.6527735665,f34,20
289,f523,4.806027014444445,f523,9
290,f966,1.8618927,f966,1
291,f756,4.572534260666665,f756,36
292,f856,1.2213627495,f856,6
293,f456,1.792605100407407,f456,27
294,f398,7.789496077791251,f398,24
295,f675,1.4364571560000001,f675,5
296,f376,12.773070726761906,f376,21
297,f550,1.1891994468333333,f550,6
298,f619,7.717660816148001,f619,25
299,f242,9.350901970894737,f242,19
300,f435,0.83892178575,f435,4
301,f571,3.01074779,f571,4
302,f190,8.71568335273579,f190,19
303,f553,6.897408616710711,f553,28
304,f326,2.24739456,f326,1
305,f226,2.4982707171428573,f226,7
306,f288,2.1068612766666663,f288,6
307,f183,2.0264823433333334,f183,6
308,f178,4.988296378508332,f178,12
309,f810,1.5424737933333332,f810,3
310,f965,7.157643071037501,f965,32
311,f442,1.9809263352500002,f442,8
312,f964,5.046691116636364,f964,22
313,f978,1.0130720817499999,f978,8
314,f471,1.757761,f471,1
315,f746,2.9251792425,f746,4
316,f960,1.887271947561905,f960,21
317,f693,8.024029828411111,f693,27
318,f119,6.805783193180001,f119,20
319,f488,0.893492222,f488,2
320,f656,9.660185450529413,f656,17
321,f629,5.712142329384616,f629,13
322,f77,5.04138317348,f77,15
323,f475,7.878771915645835,f475,24
324,f642,0.34014379975,f642,4
325,f104,6.921858366166668,f104,18
326,f700,8.199674610533334,f700,15
327,f577,0.2925223508333334,f577,6
328,f307,3.5060936045238096,f307,21
329,f225,0.428287506,f225,1
330,f499,1.2556791299999999,f499,2
331,f212,1.6936816383333333,f212,6
332,f163,3.418161851192857,f163,14
333,f200,6.636759243242106,f200,19
334,f5,1.113191125,f5,2
335,f560,1.6757632657142858,f560,7
336,f111,1.823259711375,f111,8
337,f415,5.320783427842105,f415,38
338,f868,0.47208706533333333,f868,3
339,f299,1.87225628,f299,1
340,f221,5.671557402549999,f221,20
341,f668,2.538291609692308,f668,13
342,f610,3.7479089633333333,f610,9
343,f450,0.889566898925,f450,4
344,f548,1.0046498508888888,f548,9
345,f459,6.0382324642187495,f459,16
346,f17,1.97713661,f17,1
347,f840,5.189600992393102,f840,29
348,f765,5.846759007500001,f765,20
349,f912,7.646960901461538,f912,13
350,f673,1.897452035,f673,6
351,f873,1.1466026315436666,f873,3
352,f305,5.095655048071428,f305,21
353,f898,4.651470843333333,f898,18
354,f355,0.6000250168333333,f355,6
355,f69,1.70537122,f69,3
356,f821,0.949928284,f821,1
357,f537,0.16758600866666665,f537,3
358,f446,4.629937337479999,f446,25
359,f519,8.649681261875001,f519,16
360,f303,7.719401368363635,f303,22
361,f19,1.0956343018333332,f19,3
362,f141,2.3676091577142855,f141,7
363,f755,1.79243374,f755,1
364,f539,1.39289093,f539,2
365,f144,1.7825706000000001,f144,2
366,f917,4.177825995416,f917,25
367,f768,2.49292469,f768,1
368,f602,3.115320658,f602,5
369,f697,2.10404015,f697,1
370,f581,1.4566094521428572,f581,7
371,f220,5.9001593598,f220,15
372,f501,2.38502834725,f501,20
373,f160,0.558856487,f160,1
374,f259,10.163160225999999,f259,10
375,f759,3.147987711955556,f759,9
376,f367,8.529724589999999,f367,9
377,f986,1.2921019418421051,f986,19
378,f401,1.8506550800000001,f401,3
379,f852,1.60547638,f852,1
380,f791,1.34967089,f791,2
381,f39,5.544132056992857,f39,14
382,f106,3.81509439,f106,3
383,f167,5.4683230600999995,f167,20
384,f54,2.6314134800000004,f54,6
385,f193,4.479739782335908,f193,22
386,f600,3.9984716081818177,f600,22
387,f97,7.32217249,f97,10
388,f388,6.482337123700001,f388,10
389,f911,7.795766090142856,f911,7
390,f638,1.83522129,f638,1
391,f68,3.541367184075,f68,20
392,f95,5.209914298174,f95,15
393,f542,2.97409534,f542,1
394,f240,1.7124779088888888,f240,9
395,f797,2.913167610225,f797,16
396,f223,0.539142609,f223,1
397,f646,2.49750519,f646,1
398,f180,6.104005839000001,f180,10
399,f254,1.6984686879999997,f254,5
400,f961,3.102637765,f961,2
401,f218,0.7029552463333334,f218,3
402,f391,5.1945889,f391,4
403,f420,8.114223534874998,f420,8
404,f48,8.055682578333334,f48,6
405,f955,0.279953003,f955,1
406,f915,6.303626391,f915,10
407,f516,2.66122181376,f516,10
408,f513,2.738806720933333,f513,15
409,f618,2.238581270411765,f618,17
410,f663,1.71848845,f663,1
411,f681,1.12723064,f681,1
412,f916,3.25991726,f916,1
413,f53,6.068989822428571,f53,7
414,f938,0.604063034,f938,1
415,f293,6.014086739250001,f293,8
416,f953,2.246511029933333,f953,15
417,f115,0.0609798431,f115,1
418,f402,1.5864566183333333,f402,3
419,f670,4.0053547625,f670,4
420,f403,3.380712022642857,f403,7
421,f460,2.5808000222133334,f460,15
422,f140,7.243192428625,f140,8
423,f724,4.502034539083334,f724,12
424,f880,0.32341671,f880,1
425,f510,0.3275027275,f510,2
426,f939,4.767987728571428,f939,7
427,f313,5.455872323333334,f313,9
428,f847,0.6951599125,f847,2
429,f255,2.0040535950000002,f255,2
430,f422,0.558365822,f422,1
431,f591,3.0304365890166665,f591,12
432,f613,1.7909097699999998,f613,2
433,f976,2.0038813964999997,f976,4
434,f933,2.4044396233333334,f933,12
435,f22,2.4235649099999996,f22,5
436,f380,2.53060516,f380,3
437,f624,3.568020105,f624,2
438,f954,2.17873669,f954,1
439,f910,1.18857479,f910,1
440,f908,3.2418452133333333,f908,3
441,f217,2.82700491,f217,1
442,f114,4.191028356,f114,5
443,f374,6.762665352833333,f374,6
444,f780,2.6181007381200003,f780,5
445,f532,0.052052021,f532,2
446,f65,2.3593368894266664,f65,15
447,f556,2.481896035775,f556,8
448,f476,6.9520307775,f476,4
449,f543,4.8090237,f543,3
450,f13,3.5210784075,f13,4
451,f392,1.1366484175,f392,2
452,f784,2.970862657125,f784,8
453,f815,2.9721379608666663,f815,12
454,f216,2.606163299,f216,10
455,f207,0.8574140075,f207,2
456,f691,1.9358773239375,f691,8
457,f21,3.714120674,f21,5
458,f900,2.456933975,f900,2
459,f790,2.777927395,f790,2
460,f957,0.801079988,f957,1
461,f309,2.7364609578571426,f309,7
462,f192,5.2807990305,f192,4
463,f584,3.364718733625,f584,8
464,f228,0.351699591,f228,1
465,f636,2.624037902,f636,6
466,f10,4.84792781065,f10,4
467,f887,2.14291223,f887,3
468,f418,3.40055424,f418,4
469,f26,5.152147674,f26,5
